table_name|column_name|data_type|nullable|distinct_values
"call_center"|"cc_call_center_sk"|"int"|0|6
"call_center"|"cc_call_center_id"|"string"|0|3
"call_center"|"cc_rec_start_date"|"string"|1|4
"call_center"|"cc_rec_end_date"|"string"|1|3
"call_center"|"cc_closed_date_sk"|"int"|1|1
"call_center"|"cc_open_date_sk"|"int"|1|3
"call_center"|"cc_name"|"string"|1|3
"call_center"|"cc_class"|"string"|1|3
"call_center"|"cc_employees"|"int"|1|5
"call_center"|"cc_sq_ft"|"int"|1|6
"call_center"|"cc_hours"|"string"|1|2
"call_center"|"cc_manager"|"string"|1|4
"call_center"|"cc_mkt_id"|"int"|1|3
"call_center"|"cc_mkt_class"|"string"|1|5
"call_center"|"cc_mkt_desc"|"string"|1|4
"call_center"|"cc_market_manager"|"string"|1|4
"call_center"|"cc_division"|"int"|1|4
"call_center"|"cc_division_name"|"string"|1|4
"call_center"|"cc_company"|"int"|1|4
"call_center"|"cc_company_name"|"string"|1|4
"call_center"|"cc_street_number"|"string"|1|3
"call_center"|"cc_street_name"|"string"|1|3
"call_center"|"cc_street_type"|"string"|1|3
"call_center"|"cc_suite_number"|"string"|1|3
"call_center"|"cc_city"|"string"|1|1
"call_center"|"cc_county"|"string"|1|1
"call_center"|"cc_state"|"string"|1|1
"call_center"|"cc_zip"|"string"|1|1
"call_center"|"cc_country"|"string"|1|1
"call_center"|"cc_gmt_offset"|"float"|1|1
"call_center"|"cc_tax_percentage"|"float"|1|4
"catalog_page"|"cp_catalog_page_sk"|"int"|0|11718
"catalog_page"|"cp_catalog_page_id"|"string"|0|11718
"catalog_page"|"cp_start_date_sk"|"int"|1|91
"catalog_page"|"cp_end_date_sk"|"int"|1|97
"catalog_page"|"cp_department"|"string"|1|1
"catalog_page"|"cp_catalog_number"|"int"|1|109
"catalog_page"|"cp_catalog_page_number"|"int"|1|108
"catalog_page"|"cp_description"|"string"|1|11609
"catalog_page"|"cp_type"|"string"|1|3
"catalog_returns"|"cr_returned_date_sk"|"int"|1|2060
"catalog_returns"|"cr_returned_time_sk"|"int"|1|65102
"catalog_returns"|"cr_item_sk"|"int"|0|17862
"catalog_returns"|"cr_refunded_customer_sk"|"int"|1|60608
"catalog_returns"|"cr_refunded_cdemo_sk"|"int"|1|91032
"catalog_returns"|"cr_refunded_hdemo_sk"|"int"|1|7200
"catalog_returns"|"cr_refunded_addr_sk"|"int"|1|42233
"catalog_returns"|"cr_returning_customer_sk"|"int"|1|75405
"catalog_returns"|"cr_returning_cdemo_sk"|"int"|1|135452
"catalog_returns"|"cr_returning_hdemo_sk"|"int"|1|7200
"catalog_returns"|"cr_returning_addr_sk"|"int"|1|47012
"catalog_returns"|"cr_call_center_sk"|"int"|1|6
"catalog_returns"|"cr_catalog_page_sk"|"int"|1|6536
"catalog_returns"|"cr_ship_mode_sk"|"int"|1|20
"catalog_returns"|"cr_warehouse_sk"|"int"|1|5
"catalog_returns"|"cr_reason_sk"|"int"|1|35
"catalog_returns"|"cr_order_number"|"int"|0|94519
"catalog_returns"|"cr_return_quantity"|"int"|1|100
"catalog_returns"|"cr_return_amount"|"float"|1|82918
"catalog_returns"|"cr_return_tax"|"float"|1|25923
"catalog_returns"|"cr_return_amt_inc_tax"|"float"|1|96833
"catalog_returns"|"cr_fee"|"float"|1|9951
"catalog_returns"|"cr_return_ship_cost"|"float"|1|64432
"catalog_returns"|"cr_refunded_cash"|"float"|1|74284
"catalog_returns"|"cr_reversed_charge"|"float"|1|55024
"catalog_returns"|"cr_store_credit"|"float"|1|54547
"catalog_returns"|"cr_net_loss"|"float"|1|86883
"catalog_sales"|"cs_sold_date_sk"|"int"|1|1830
"catalog_sales"|"cs_sold_time_sk"|"int"|1|67461
"catalog_sales"|"cs_ship_date_sk"|"int"|1|1922
"catalog_sales"|"cs_bill_customer_sk"|"int"|1|79641
"catalog_sales"|"cs_bill_cdemo_sk"|"int"|1|153251
"catalog_sales"|"cs_bill_hdemo_sk"|"int"|1|7200
"catalog_sales"|"cs_bill_addr_sk"|"int"|1|47999
"catalog_sales"|"cs_ship_customer_sk"|"int"|1|79675
"catalog_sales"|"cs_ship_cdemo_sk"|"int"|1|153350
"catalog_sales"|"cs_ship_hdemo_sk"|"int"|1|7200
"catalog_sales"|"cs_ship_addr_sk"|"int"|1|47961
"catalog_sales"|"cs_call_center_sk"|"int"|1|6
"catalog_sales"|"cs_catalog_page_sk"|"int"|1|6588
"catalog_sales"|"cs_ship_mode_sk"|"int"|1|20
"catalog_sales"|"cs_warehouse_sk"|"int"|1|5
"catalog_sales"|"cs_item_sk"|"int"|0|18000
"catalog_sales"|"cs_promo_sk"|"int"|1|300
"catalog_sales"|"cs_order_number"|"int"|0|160000
"catalog_sales"|"cs_quantity"|"int"|1|100
"catalog_sales"|"cs_wholesale_cost"|"float"|1|9901
"catalog_sales"|"cs_list_price"|"float"|1|29455
"catalog_sales"|"cs_sales_price"|"float"|1|26074
"catalog_sales"|"cs_ext_discount_amt"|"float"|1|393013
"catalog_sales"|"cs_ext_sales_price"|"float"|1|393328
"catalog_sales"|"cs_ext_wholesale_cost"|"float"|1|341793
"catalog_sales"|"cs_ext_list_price"|"float"|1|559009
"catalog_sales"|"cs_ext_tax"|"float"|1|84992
"catalog_sales"|"cs_coupon_amt"|"float"|1|157104
"catalog_sales"|"cs_ext_ship_cost"|"float"|1|258578
"catalog_sales"|"cs_net_paid"|"float"|1|423843
"catalog_sales"|"cs_net_paid_inc_tax"|"float"|1|539634
"catalog_sales"|"cs_net_paid_inc_ship"|"float"|1|544355
"catalog_sales"|"cs_net_paid_inc_ship_tax"|"float"|1|701006
"catalog_sales"|"cs_net_profit"|"float"|1|492185
"customer"|"c_customer_sk"|"int"|0|100000
"customer"|"c_customer_id"|"string"|0|100000
"customer"|"c_current_cdemo_sk"|"int"|1|94215
"customer"|"c_current_hdemo_sk"|"int"|1|7200
"customer"|"c_current_addr_sk"|"int"|1|43282
"customer"|"c_first_shipto_date_sk"|"int"|1|3651
"customer"|"c_first_sales_date_sk"|"int"|1|3651
"customer"|"c_salutation"|"string"|1|6
"customer"|"c_first_name"|"string"|1|4131
"customer"|"c_last_name"|"string"|1|4972
"customer"|"c_preferred_cust_flag"|"string"|1|2
"customer"|"c_birth_day"|"int"|1|31
"customer"|"c_birth_month"|"int"|1|12
"customer"|"c_birth_year"|"int"|1|69
"customer"|"c_birth_country"|"string"|1|211
"customer"|"c_login"|"string"|1|1
"customer"|"c_email_address"|"string"|1|96477
"customer"|"c_last_review_date"|"int"|1|366
"customer_address"|"ca_address_sk"|"int"|0|50000
"customer_address"|"ca_address_id"|"string"|0|50000
"customer_address"|"ca_street_number"|"string"|1|1000
"customer_address"|"ca_street_name"|"string"|1|6901
"customer_address"|"ca_street_type"|"string"|1|20
"customer_address"|"ca_suite_number"|"string"|1|75
"customer_address"|"ca_city"|"string"|1|695
"customer_address"|"ca_county"|"string"|1|1846
"customer_address"|"ca_state"|"string"|1|51
"customer_address"|"ca_zip"|"string"|1|3692
"customer_address"|"ca_country"|"string"|1|1
"customer_address"|"ca_gmt_offset"|"float"|1|6
"customer_address"|"ca_location_type"|"string"|1|3
"customer_demographics"|"cd_demo_sk"|"int"|0|1.9208e+06
"customer_demographics"|"cd_gender"|"string"|1|2
"customer_demographics"|"cd_marital_status"|"string"|1|5
"customer_demographics"|"cd_education_status"|"string"|1|7
"customer_demographics"|"cd_purchase_estimate"|"int"|1|20
"customer_demographics"|"cd_credit_rating"|"string"|1|4
"customer_demographics"|"cd_dep_count"|"int"|1|7
"customer_demographics"|"cd_dep_employed_count"|"int"|1|7
