QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
63ede41a3b239d2e,3659,3659,95619
8a500b8350e13fe5,366,366,7963
8a500b8350e13fe5,288032,288032,25264530
8a500b8350e13fe5,5,5,8242
8a500b8350e13fe5,20,20,4539
8a500b8350e13fe5,6,6,5238
e045c72cfee071ed,366,366,4540
e045c72cfee071ed,553861,553861,52240209
e045c72cfee071ed,287535,287535,24770092
65cf99f6be86c7f4,2880404,2880404,5807114
65cf99f6be86c7f4,287514,287514,724370
65cf99f6be86c7f4,1,1,8801
c86892b6d2937a1c,30,30,4890
c86892b6d2937a1c,1920800,1920800,4786808
c86892b6d2937a1c,5449,5449,6216
c86892b6d2937a1c,1200,1200,4121
c86892b6d2937a1c,1705,1705,354048
c86892b6d2937a1c,1,1,6636
c86892b6d2937a1c,6,6,5308
aecea1dd577191a6,1920800,1920800,6876452
aecea1dd577191a6,50000,50000,62512
aecea1dd577191a6,13145,13145,1159509
aecea1dd577191a6,35,35,5797
aecea1dd577191a6,1075,1075,349578
aecea1dd577191a6,366,366,4680
aecea1dd577191a6,142182,142182,12965883
aecea1dd577191a6,60,60,6006
ca927b305c8b0f73,425,425,34993
1c41ac70227eb819,366,366,5169
1c41ac70227eb819,28837,28837,2387537
1c41ac70227eb819,21563,21563,1848887
1c41ac70227eb819,2446,2446,7543
1c41ac70227eb819,1173,1173,185790
741bc3f2dfb09756,157,157,6007
741bc3f2dfb09756,7200,7200,32479
741bc3f2dfb09756,91665,91665,9371900
741bc3f2dfb09756,11,11,4820
741bc3f2dfb09756,6557,6557,723602
901db9dd2feb2d10,365,365,10337
901db9dd2feb2d10,550596,550596,51732501
901db9dd2feb2d10,12,12,10337
901db9dd2feb2d10,18000,18000,48682
24cc61038fcacf93,30,30,3981
24cc61038fcacf93,339,339,9639
24cc61038fcacf93,1708,1708,512178
9ba0ff608aba8792,31,31,5587
9ba0ff608aba8792,2976,2976,651940
9ba0ff608aba8792,33689,33689,3562551
9ba0ff608aba8792,201,201,26402
9ba0ff608aba8792,12,12,7124
c49841c711905e98,1920800,1920800,3633096
c49841c711905e98,50000,50000,61813
c49841c711905e98,366,366,4609
c49841c711905e98,553861,553861,55494252
c49841c711905e98,12,12,9429
5a7fd39201e63d24,214,214,9988
5a7fd39201e63d24,30,30,5378
5a7fd39201e63d24,26370,26370,3007906
5a7fd39201e63d24,25933,25933,2463319
5a7fd39201e63d24,12,12,6007
5a7fd39201e63d24,2024,2024,223856
5a7fd39201e63d24,1723,1723,173637
7ee6cff3a8c3d580,30,30,3982
7ee6cff3a8c3d580,321,321,11175
7ee6cff3a8c3d580,1535,1535,473974
7ee6cff3a8c3d580,12,12,5029
7ee6cff3a8c3d580,1357,1357,284272
7ee6cff3a8c3d580,1336,1336,226230
