QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
7a9fe6a252b82d52,8,8,16135
63ede41a3b239d2e,1818,1818,67820
bac00c0bdbf62ea,150000,150000,390368
bac00c0bdbf62ea,1500000,1500000,2201328
2687bf4da454552b,150000,150000,397213
2687bf4da454552b,1500000,1500000,2125895
2bd757c748d34189,150000,150000,376328
2bd757c748d34189,1500000,1500000,2233248
7ce8aa4cc8eabfd8,150000,150000,382056
7ce8aa4cc8eabfd8,1500000,1500000,2228498
3bf533ddc6f54ed4,150000,150000,360334
3bf533ddc6f54ed4,1500000,1500000,2148106
74335a369db42f54,150000,150000,367318
74335a369db42f54,1500000,1500000,2455497
aeebd3c094273d3e,150000,150000,367598
aeebd3c094273d3e,1500000,1500000,2295131
6730c267d3eac48a,729413,729413,82418
6730c267d3eac48a,1,1,4051
6730c267d3eac48a,393,393,72709
6730c267d3eac48a,235635,235635,36944345
6730c267d3eac48a,703163,703163,73806343
6730c267d3eac48a,703163,703163,73395720
6ec3126b032024be,729413,729413,74804
6ec3126b032024be,1,1,3981
6ec3126b032024be,399,399,69497
6ec3126b032024be,239562,239562,36133087
6ec3126b032024be,713476,713476,74847184
6ec3126b032024be,713476,713476,74100673
7324393c05ab5301,729413,729413,72919
7324393c05ab5301,1,1,3981
7324393c05ab5301,376,376,67471
7324393c05ab5301,225244,225244,35238223
7324393c05ab5301,673589,673589,70888397
7324393c05ab5301,673589,673589,71609764
37e2ba0a1c4e865f,729413,729413,73827
37e2ba0a1c4e865f,1,1,4051
37e2ba0a1c4e865f,415,415,70335
37e2ba0a1c4e865f,250206,250206,34142833
37e2ba0a1c4e865f,743477,743477,77192883
37e2ba0a1c4e865f,743477,743477,76255833
a17cb368eadced8f,729413,729413,89542
a17cb368eadced8f,1,1,40091
a17cb368eadced8f,380,380,64328
a17cb368eadced8f,227476,227476,33558922
a17cb368eadced8f,680326,680326,72889478
a17cb368eadced8f,680326,680326,70565221
bfb403aee0d212a,729413,729413,109588
bfb403aee0d212a,1,1,3981
bfb403aee0d212a,412,412,40091
bfb403aee0d212a,247032,247032,34148910
bfb403aee0d212a,736279,736279,76927888
bfb403aee0d212a,736279,736279,76076889
ca927b305c8b0f73,61,61,18230
98aa70b345defa5b,2233,2233,7892
98aa70b345defa5b,8932,8932,1158671
98aa70b345defa5b,10112,10112,2625152
98aa70b345defa5b,4548,4548,407130
98aa70b345defa5b,1,1,4401
445e33c234f835dc,2190,2190,8521
445e33c234f835dc,8760,8760,1112503
445e33c234f835dc,9987,9987,2617120
445e33c234f835dc,4492,4492,404197
445e33c234f835dc,1,1,4400
ec4f5aa44b3ce5b2,57311,57311,36041
ec4f5aa44b3ce5b2,114700,114700,16783512
ec4f5aa44b3ce5b2,150000,150000,302642
ec4f5aa44b3ce5b2,25,25,5238
b6e90b19f6849df0,10000,10000,21582
b6e90b19f6849df0,1,1,3841
b6e90b19f6849df0,5,5,5867
b6e90b19f6849df0,29764,29764,2790128
b6e90b19f6849df0,1312,1312,9429
b6e90b19f6849df0,39342,39342,9304989
b6e90b19f6849df0,11766,11766,2694160
b6e90b19f6849df0,25,25,7054
39db4fdfc7ced3a8,57683,57683,34294
39db4fdfc7ced3a8,115282,115282,16794199
39db4fdfc7ced3a8,150000,150000,302013
39db4fdfc7ced3a8,25,25,6635
2339c1c426815457,2255,2255,8661
2339c1c426815457,9020,9020,1160417
2339c1c426815457,10317,10317,2670273
2339c1c426815457,4584,4584,390368
2339c1c426815457,1,1,6566
