table_name|chunk_id|column_id|column_name|column_data_type|distinct_value_count|encoding_type|vector_compression_type|size_in_bytes
"call_center"|0|0|"cc_call_center_sk"|"int"|24|"Dictionary"|"FixedSize1ByteAligned"|176
"call_center"|0|1|"cc_call_center_id"|"string"|12|"Dictionary"|"FixedSize1ByteAligned"|796
"call_center"|0|2|"cc_rec_start_date"|"string"|4|"Dictionary"|"FixedSize1ByteAligned"|272
"call_center"|0|3|"cc_rec_end_date"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|232
"call_center"|0|4|"cc_closed_date_sk"|"int"|0|"Dictionary"|"FixedSize1ByteAligned"|80
"call_center"|0|5|"cc_open_date_sk"|"int"|12|"Dictionary"|"FixedSize1ByteAligned"|128
"call_center"|0|6|"cc_name"|"string"|12|"Dictionary"|"FixedSize1ByteAligned"|630
"call_center"|0|7|"cc_class"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|232
"call_center"|0|8|"cc_employees"|"int"|19|"Dictionary"|"FixedSize1ByteAligned"|156
"call_center"|0|9|"cc_sq_ft"|"int"|18|"Dictionary"|"FixedSize1ByteAligned"|152
"call_center"|0|10|"cc_hours"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|232
"call_center"|0|11|"cc_manager"|"string"|16|"Dictionary"|"FixedSize1ByteAligned"|770
"call_center"|0|12|"cc_mkt_id"|"int"|5|"Dictionary"|"FixedSize1ByteAligned"|100
"call_center"|0|13|"cc_mkt_class"|"string"|20|"Dictionary"|"FixedSize1ByteAligned"|1568
"call_center"|0|14|"cc_mkt_desc"|"string"|17|"Dictionary"|"FixedSize1ByteAligned"|1856
"call_center"|0|15|"cc_market_manager"|"string"|19|"Dictionary"|"FixedSize1ByteAligned"|907
"call_center"|0|16|"cc_division"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|104
"call_center"|0|17|"cc_division_name"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|352
"call_center"|0|18|"cc_company"|"int"|6|"Dictionary"|"FixedSize1ByteAligned"|104
"call_center"|0|19|"cc_company_name"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|352
"call_center"|0|20|"cc_street_number"|"string"|12|"Dictionary"|"FixedSize1ByteAligned"|592
"call_center"|0|21|"cc_street_name"|"string"|12|"Dictionary"|"FixedSize1ByteAligned"|592
"call_center"|0|22|"cc_street_type"|"string"|9|"Dictionary"|"FixedSize1ByteAligned"|472
"call_center"|0|23|"cc_suite_number"|"string"|12|"Dictionary"|"FixedSize1ByteAligned"|592
"call_center"|0|24|"cc_city"|"string"|6|"Dictionary"|"FixedSize1ByteAligned"|352
"call_center"|0|25|"cc_county"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|250
"call_center"|0|26|"cc_state"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|232
"call_center"|0|27|"cc_zip"|"string"|8|"Dictionary"|"FixedSize1ByteAligned"|432
"call_center"|0|28|"cc_country"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|152
"call_center"|0|29|"cc_gmt_offset"|"float"|2|"Dictionary"|"FixedSize1ByteAligned"|88
"call_center"|0|30|"cc_tax_percentage"|"float"|10|"Dictionary"|"FixedSize1ByteAligned"|120
"catalog_page"|0|0|"cp_catalog_page_sk"|"int"|12000|"Dictionary"|"FixedSize2ByteAligned"|72056
"catalog_page"|0|1|"cp_catalog_page_id"|"string"|12000|"Dictionary"|"FixedSize2ByteAligned"|708088
"catalog_page"|0|2|"cp_start_date_sk"|"int"|91|"Dictionary"|"FixedSize1ByteAligned"|12420
"catalog_page"|0|3|"cp_end_date_sk"|"int"|97|"Dictionary"|"FixedSize1ByteAligned"|12444
"catalog_page"|0|4|"cp_department"|"string"|1|"Dictionary"|"FixedSize1ByteAligned"|12128
"catalog_page"|0|5|"cp_catalog_number"|"int"|109|"Dictionary"|"FixedSize1ByteAligned"|12492
"catalog_page"|0|6|"cp_catalog_page_number"|"int"|111|"Dictionary"|"FixedSize1ByteAligned"|12500
"catalog_page"|0|7|"cp_description"|"string"|11884|"Dictionary"|"FixedSize2ByteAligned"|1397365
"catalog_page"|0|8|"cp_type"|"string"|3|"Dictionary"|"FixedSize1ByteAligned"|12208
"catalog_returns"|0|0|"cr_returned_date_sk"|"int"|396|"Dictionary"|"FixedSize2ByteAligned"|132710
"catalog_returns"|0|1|"cr_returned_time_sk"|"int"|43574|"Dictionary"|"FixedSize2ByteAligned"|305422
"catalog_returns"|0|2|"cr_item_sk"|"int"|36890|"Dictionary"|"FixedSize2ByteAligned"|278686
"catalog_returns"|0|3|"cr_refunded_customer_sk"|"int"|40716|"Dictionary"|"FixedSize2ByteAligned"|293990
"catalog_returns"|0|4|"cr_refunded_cdemo_sk"|"int"|41935|"Dictionary"|"FixedSize2ByteAligned"|298866
"catalog_returns"|0|5|"cr_refunded_hdemo_sk"|"int"|7183|"Dictionary"|"FixedSize2ByteAligned"|159858
