QUERY_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_ROWS|OUTPUT_ROWS|RUNTIME_NS|DESCRIPTION|SINGLE_INPUT_ROWS|SINGLE_OUTPUT_ROWS|SINGLE_RUNTIME_NS|OPERATOR_POINTER
"8a500b8350e13fe5"|"DATA"|"date_dim"|"d_month_seq"|73049|366|155896|"TableScan Impl: ColumnBetween d_month_seq BETWEEN INCLUSIVE 1200 AND 1211"|73049|366|175872|"0x7ff2da1959f0"
"e045c72cfee071ed"|"DATA"|"date_dim"|"d_month_seq"|73049|366|140809|"TableScan Impl: ColumnBetween d_month_seq BETWEEN INCLUSIVE 1200 AND 1211"|73049|366|118738|"0x7ff2da194870"
"65cf99f6be86c7f4"|"DATA"|"reason"|"r_reason_desc"|45|1|48123|"TableScan Impl: ColumnVsValue r_reason_desc = 'reason 28'"|45|1|22979|"0x7ff2da194f70"
"c86892b6d2937a1c"|"REFERENCE"|"date_dim"|"d_moy"|365|30|15855|"TableScan Impl: ColumnVsValue d_moy = 11"|73049|6000|156106|"0x7ff0dd0fa030"
"c86892b6d2937a1c"|"DATA"|"date_dim"|"d_year"|73049|365|140389|"TableScan Impl: ColumnVsValue d_year = 1998"|73049|365|108191|"0x7ff0dd0fa030"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1463408|"TableScan Impl: ColumnVsValue cd_marital_status = 'M'"|1920800|384160|4136195|"0x7ff2da193450"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|6417916|"TableScan Impl: ColumnVsValue cd_education_status = 'Unknown'"|1920800|274400|3834670|"0x7ff2da193450"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|991460|"TableScan Impl: ColumnVsValue cd_marital_status = 'W'"|1920800|384160|3408541|"0x7ff2da193450"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|5670286|"TableScan Impl: ColumnVsValue cd_education_status = 'Advanced Degree'"|1920800|274400|3404840|"0x7ff2da193450"
"c86892b6d2937a1c"|"DATA"|"customer_address"|"ca_gmt_offset"|250000|27348|629520|"TableScan Impl: ColumnVsValue ca_gmt_offset = -7"|250000|27348|778360|"0x7ff2da193a70"
"c86892b6d2937a1c"|"DATA"|"household_demographics"|"hd_buy_potential"|7200|1200|40092|"TableScan Impl: ColumnBetween hd_buy_potential BETWEEN UPPER EXCLUSIVE 'Unknown' AND 'Unknowo'"|7200|1200|34294|"0x7ff2da193d10"
