QUERY_HASH,INPUT_ROWS,OUTPUT_ROWS,RUNTIME_NS
63ede41a3b239d2e,3659,3659,94711
8a500b8350e13fe5,366,366,9150
8a500b8350e13fe5,288032,288032,25601815
8a500b8350e13fe5,5,5,9150
8a500b8350e13fe5,20,20,4191
8a500b8350e13fe5,6,6,4400
e045c72cfee071ed,366,366,4470
e045c72cfee071ed,553861,553861,54803478
e045c72cfee071ed,287535,287535,25505358
65cf99f6be86c7f4,2880404,2880404,6633668
65cf99f6be86c7f4,287514,287514,714033
65cf99f6be86c7f4,1,1,9778
c86892b6d2937a1c,30,30,4470
c86892b6d2937a1c,1920800,1920800,4637477
c86892b6d2937a1c,5449,5449,6006
c86892b6d2937a1c,1200,1200,4191
c86892b6d2937a1c,1705,1705,329323
c86892b6d2937a1c,1,1,6286
c86892b6d2937a1c,6,6,4959
aecea1dd577191a6,1920800,1920800,4784782
aecea1dd577191a6,50000,50000,62302
aecea1dd577191a6,13145,13145,1177111
aecea1dd577191a6,35,35,5028
aecea1dd577191a6,1075,1075,344759
aecea1dd577191a6,366,366,4680
aecea1dd577191a6,142182,142182,12702914
aecea1dd577191a6,60,60,6146
ca927b305c8b0f73,425,425,34853
1c41ac70227eb819,366,366,5518
1c41ac70227eb819,28837,28837,2534283
1c41ac70227eb819,21563,21563,1853775
1c41ac70227eb819,2446,2446,8102
1c41ac70227eb819,1173,1173,201994
741bc3f2dfb09756,157,157,6007
741bc3f2dfb09756,7200,7200,30732
741bc3f2dfb09756,91665,91665,9418488
741bc3f2dfb09756,11,11,4470
741bc3f2dfb09756,6557,6557,688539
901db9dd2feb2d10,365,365,8801
901db9dd2feb2d10,550596,550596,58892388
901db9dd2feb2d10,12,12,10198
901db9dd2feb2d10,18000,18000,53362
24cc61038fcacf93,30,30,4470
24cc61038fcacf93,339,339,9639
24cc61038fcacf93,1708,1708,536624
9ba0ff608aba8792,31,31,7124
9ba0ff608aba8792,2976,2976,681624
9ba0ff608aba8792,33689,33689,4056291
9ba0ff608aba8792,201,201,27729
9ba0ff608aba8792,12,12,7543
c49841c711905e98,1920800,1920800,4474318
c49841c711905e98,50000,50000,73477
c49841c711905e98,366,366,4261
c49841c711905e98,553861,553861,58754093
c49841c711905e98,12,12,11105
5a7fd39201e63d24,214,214,9499
5a7fd39201e63d24,30,30,5727
5a7fd39201e63d24,26370,26370,3215069
5a7fd39201e63d24,25933,25933,2964323
5a7fd39201e63d24,12,12,6706
5a7fd39201e63d24,2024,2024,249839
5a7fd39201e63d24,1723,1723,200807
7ee6cff3a8c3d580,30,30,5657
7ee6cff3a8c3d580,321,321,13341
7ee6cff3a8c3d580,1535,1535,500026
7ee6cff3a8c3d580,12,12,5727
7ee6cff3a8c3d580,1357,1357,313608
7ee6cff3a8c3d580,1336,1336,232097
105285333f5ba7f4,4891,4891,13620
105285333f5ba7f4,9807,9807,1065008
105285333f5ba7f4,9430,9430,2435521
105285333f5ba7f4,91,91,4680
105285333f5ba7f4,79346,79346,9442375
105285333f5ba7f4,1441548,1441548,2866748
105285333f5ba7f4,73049,73049,191447
105285333f5ba7f4,719384,719384,1267281
2e0ad00e44492b13,459,459,7613
2e0ad00e44492b13,932,932,235031
2e0ad00e44492b13,897,897,314446
2e0ad00e44492b13,120,120,4680
2e0ad00e44492b13,27787,27787,3160869
2e0ad00e44492b13,491,491,68938
2e0ad00e44492b13,62,62,23957
76277e5ed4da0819,274,274,11035
76277e5ed4da0819,91,91,6496
76277e5ed4da0819,80124,80124,9456484
76277e5ed4da0819,40686,40686,4281334
76277e5ed4da0819,12,12,7194
76277e5ed4da0819,6149,6149,724231
76277e5ed4da0819,1,1,6076
a203e0bb1c413813,366,366,5098
a203e0bb1c413813,143138,143138,14926872
a203e0bb1c413813,5,5,8312
a203e0bb1c413813,30,30,4820
a203e0bb1c413813,20,20,4610
747848d0ca9ebfbb,91,91,6356
747848d0ca9ebfbb,41350,41350,4222454
747848d0ca9ebfbb,4539,4539,704673
747848d0ca9ebfbb,50000,50000,71033
77eb7251971f23d,1,1,10337
7a9fe6a252b82d52,24,24,14528
c1558ce7f598faf2,91,91,8522
c1558ce7f598faf2,21363,21363,2445509
c1558ce7f598faf2,1755,1755,360753
c1558ce7f598faf2,50000,50000,79135
c1558ce7f598faf2,8176,8176,814052
c1558ce7f598faf2,10,10,4470
a328efe777ccc703,1800,1800,10547
a328efe777ccc703,1,1,18300
a328efe777ccc703,720,720,4819
a328efe777ccc703,870,870,127189
48102a81fee54f33,39,39,5657
48102a81fee54f33,6656,6656,1848258
48102a81fee54f33,149,149,23119
10dbdaceb474245a,18000,18000,67122
10dbdaceb474245a,27440,27440,45050
10dbdaceb474245a,366,366,4051
10dbdaceb474245a,287535,287535,29105906
10dbdaceb474245a,300,300,9918
dfd5d73db008470,30,30,4609
dfd5d73db008470,321,321,10616
dfd5d73db008470,1503,1503,483751
e9628864b4c79dc2,7200,7200,32898
e9628864b4c79dc2,1920800,1920800,4994669
e9628864b4c79dc2,2880404,2880404,6422245
e9628864b4c79dc2,365,365,6287
e9628864b4c79dc2,21130,21130,2090623
e9628864b4c79dc2,12,12,5937
62abd1717043ab45,366,366,16973
62abd1717043ab45,55820,55820,5784903
62abd1717043ab45,12,12,9359
62abd1717043ab45,34832,34832,3577778
33a6c8baa243ee1a,137519,137519,82767
33a6c8baa243ee1a,137224,137224,73478
33a6c8baa243ee1a,137515,137515,85561
33a6c8baa243ee1a,137937,137937,70125
33a6c8baa243ee1a,137032,137032,74665
33a6c8baa243ee1a,137360,137360,70754
a5ed8e369e84a26a,18000,18000,29614
a5ed8e369e84a26a,27440,27440,47076
a5ed8e369e84a26a,366,366,5238
a5ed8e369e84a26a,553861,553861,60390928
a5ed8e369e84a26a,300,300,10896
b5449accdea88518,1800,1800,6635
b5449accdea88518,1,1,17531
b5449accdea88518,7200,7200,14737
b5449accdea88518,4129,4129,505963
b5449accdea88518,1800,1800,7613
b5449accdea88518,4533,4533,561001
b5449accdea88518,1800,1800,6635
b5449accdea88518,3960,3960,487453
b5449accdea88518,1800,1800,7125
b5449accdea88518,4726,4726,577554
b5449accdea88518,1800,1800,5728
b5449accdea88518,2334,2334,310394
b5449accdea88518,1800,1800,6705
b5449accdea88518,7115,7115,830396
b5449accdea88518,1800,1800,5937
b5449accdea88518,7538,7538,890533
b5449accdea88518,1800,1800,5797
b5449accdea88518,4564,4564,583980
d226deafa3236031,30,30,9360
d226deafa3236031,58913,58913,6989183
d226deafa3236031,122,122,5727
d226deafa3236031,17882,17882,2181352
d226deafa3236031,1096,1096,9569
d226deafa3236031,117189,117189,12874175
d226deafa3236031,12,12,7404
d226deafa3236031,1,1,6426
b3cb9453eb547241,92,92,4819
b3cb9453eb547241,147381,147381,17225146
b3cb9453eb547241,11315,11315,1174246
b3cb9453eb547241,91,91,7543
b3cb9453eb547241,79545,79545,11664657
b3cb9453eb547241,6461,6461,697619
b3cb9453eb547241,91,91,5937
b3cb9453eb547241,84199,84199,9798169
b3cb9453eb547241,6869,6869,711448
b3cb9453eb547241,20826,20826,2397525
b3cb9453eb547241,1709,1709,229094
b3cb9453eb547241,21652,21652,2395150
b3cb9453eb547241,1768,1768,229862
b3cb9453eb547241,37602,37602,4091074
b3cb9453eb547241,3034,3034,344200
c3eb0f228a4c62a1,239,239,10966
1f3f852eeffeb3fb,1096,1096,29125
1f3f852eeffeb3fb,4800,4800,12013
1f3f852eeffeb3fb,41026,41026,4797844
1f3f852eeffeb3fb,12,12,8521
1f3f852eeffeb3fb,349,349,96527
f2542843ada8b55c,100000,100000,155407
f2542843ada8b55c,94215,94215,13480576
f2542843ada8b55c,50000,50000,137456
f2542843ada8b55c,274,274,4470
f2542843ada8b55c,78962,78962,8542762
f2542843ada8b55c,159183,159183,15721088
f2542843ada8b55c,306745,306745,33853180
ec84b20b69353252,287514,287514,527755
ec84b20b69353252,73049,73049,99950
ec84b20b69353252,3,3,5587
ec84b20b69353252,21,21,8381
ec84b20b69353252,18000,18000,40860
ec84b20b69353252,144067,144067,184742
ec84b20b69353252,71763,71763,90101
ec84b20b69353252,2113,2113,188514
ec84b20b69353252,73049,73049,94292
43e0ae6c5f21fc66,31,31,5448
43e0ae6c5f21fc66,31,31,14598
43e0ae6c5f21fc66,29757,29757,3629533
43e0ae6c5f21fc66,100000,100000,202902
43e0ae6c5f21fc66,50000,50000,94152
43e0ae6c5f21fc66,18000,18000,31431
43e0ae6c5f21fc66,18000,18000,39812
c472acfef2176cba,31,31,8311
c472acfef2176cba,180000,180000,17993798
c472acfef2176cba,18000,18000,54270
c472acfef2176cba,5,5,5728
c472acfef2176cba,28,28,9219
c472acfef2176cba,180000,180000,18468470
2b7e6ed9df8e2f99,72,72,18858
2b7e6ed9df8e2f99,108678,108678,11319200
2b7e6ed9df8e2f99,12,12,9010
2b7e6ed9df8e2f99,4800,4800,5937
2b7e6ed9df8e2f99,4,4,8032
ac2f9c4228030d9d,366,366,4820
ac2f9c4228030d9d,553861,553861,60574133
ac2f9c4228030d9d,12,12,12013
ea189fd9834a0c7c,31,31,8381
ea189fd9834a0c7c,180000,180000,18073632
ea189fd9834a0c7c,18000,18000,41908
ea189fd9834a0c7c,5,5,5937
ea189fd9834a0c7c,28,28,9638
ea189fd9834a0c7c,180000,180000,18198726
2f68c8df87906c39,30,30,4260
2f68c8df87906c39,321,321,9430
2f68c8df87906c39,1503,1503,490526
