QUERY_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_ROWS|OUTPUT_ROWS|RUNTIME_NS|DESCRIPTION|SINGLE_INPUT_ROWS|SINGLE_OUTPUT_ROWS|SINGLE_RUNTIME_NS|OPERATOR_POINTER
"bac00c0bdbf62ea"|"REFERENCE"|"customer"|"c_phone"|681435|190499|183769090|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('24', '28', '26', '21', '20', '11', '27')"|1500000|419123|380576981|"0x7f0901cb2b10"
"2687bf4da454552b"|"REFERENCE"|"customer"|"c_phone"|681352|190434|185670640|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '10', '34', '27', '28', '14', '18')"|1500000|419793|376206384|"0x7f0901cb2250"
"2bd757c748d34189"|"REFERENCE"|"customer"|"c_phone"|681223|190942|184291675|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('14', '31', '21', '32', '25', '34', '28')"|1500000|419992|373829115|"0x7f0901cb1450"
"7ce8aa4cc8eabfd8"|"REFERENCE"|"customer"|"c_phone"|680683|190698|186323208|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('25', '20', '11', '30', '33', '22', '23')"|1500000|419626|378290023|"0x7f0901cb0730"
"3bf533ddc6f54ed4"|"REFERENCE"|"customer"|"c_phone"|680526|190820|199320731|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('34', '14', '18', '23', '26', '17', '19')"|1500000|420284|376116842|"0x7f0900040d70"
"74335a369db42f54"|"REFERENCE"|"customer"|"c_phone"|682247|190532|248904709|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('24', '31', '32', '14', '28', '33', '11')"|1500000|419794|372002021|"0x7f090003ae10"
"aeebd3c094273d3e"|"REFERENCE"|"customer"|"c_phone"|681571|190524|232984770|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('11', '27', '31', '18', '16', '13', '19')"|1500000|420242|375003780|"0x7f090003beb0"
"6730c267d3eac48a"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|92060242|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|121761303|"0x7f0900040f30"
"6730c267d3eac48a"|"DATA"|"nation"|"n_name"|25|1|32618|"TableScan Impl: ColumnVsValue n_name = 'IRAN'"|25|1|25773|"0x7f090003d1f0"
"6ec3126b032024be"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|89803177|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|104528823|"0x7f0901cb03b0"
"6ec3126b032024be"|"DATA"|"nation"|"n_name"|25|1|32827|"TableScan Impl: ColumnVsValue n_name = 'VIETNAM'"|25|1|26402|"0x7f09000409f0"
"7324393c05ab5301"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|90788002|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|104950412|"0x7f090003a630"
"7324393c05ab5301"|"DATA"|"nation"|"n_name"|25|1|31640|"TableScan Impl: ColumnVsValue n_name = 'KENYA'"|25|1|26262|"0x7f090003d810"
"37e2ba0a1c4e865f"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|90649917|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|104224575|"0x7f090003dd50"
"37e2ba0a1c4e865f"|"DATA"|"nation"|"n_name"|25|1|32478|"TableScan Impl: ColumnVsValue n_name = 'EGYPT'"|25|1|27239|"0x7f090003b430"
"a17cb368eadced8f"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|90292307|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|103759263|"0x7f090003d490"
"a17cb368eadced8f"|"DATA"|"nation"|"n_name"|25|1|31780|"TableScan Impl: ColumnVsValue n_name = 'ETHIOPIA'"|25|1|27799|"0x7f090003c850"
"bfb403aee0d212a"|"DATA"|"orders"|"o_orderstatus"|15000000|7309184|104202573|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"|15000000|7309184|104163949|"0x7f09020a7e50"
"bfb403aee0d212a"|"DATA"|"nation"|"n_name"|25|1|32479|"TableScan Impl: ColumnVsValue n_name = 'CANADA'"|25|1|29684|"0x7f0901cb33d0"
"98aa70b345defa5b"|"DATA"|"part"|"p_name"|2000000|21569|3641827|"TableScan Impl: ColumnBetween p_name BETWEEN UPPER EXCLUSIVE 'chiffon' AND 'chiffoo'"|2000000|21569|3775022|"0x7f08fe2b82f0"
"445e33c234f835dc"|"DATA"|"part"|"p_name"|2000000|21871|3618917|"TableScan Impl: ColumnBetween p_name BETWEEN UPPER EXCLUSIVE 'beige' AND 'beigf'"|2000000|21871|3104084|"0x7f08fe2b5ff0"
"b6e90b19f6849df0"|"DATA"|"region"|"r_name"|5|1|29754|"TableScan Impl: ColumnVsValue r_name = 'AFRICA'"|5|1|15226|"0x7f08d0956950"
"b6e90b19f6849df0"|"DATA"|"part"|"p_type"|2000000|13225|2220256|"TableScan Impl: ColumnVsValue p_type = 'STANDARD BRUSHED BRASS'"|2000000|13225|2403391|"0x7f08b8802d10"
"39db4fdfc7ced3a8"|"DATA"|"orders"|"o_orderdate"|15000000|575136|31004033|"TableScan Impl: ColumnBetween o_orderdate BETWEEN UPPER EXCLUSIVE '1994-11-01' AND '1995-02-01'"|15000000|575136|34888574|"0x7f08b5434890"
"2339c1c426815457"|"DATA"|"part"|"p_name"|2000000|22047|3596776|"TableScan Impl: ColumnBetween p_name BETWEEN UPPER EXCLUSIVE 'navajo' AND 'navajp'"|2000000|22047|3825731|"0x7f08fe2b6d10"
"2339c1c426815457"|"DATA"|"nation"|"n_name"|25|1|39813|"TableScan Impl: ColumnVsValue n_name = 'IRAQ'"|25|1|22280|"0x7f08fe2b6450"
"7892b628f929217a"|"DATA"|"part"|"p_name"|2000000|108577|120739389|"TableScan Impl: ColumnLike p_name LIKE '%lace%'"|2000000|108577|138567165|"0x7f08b54347b0"
"5ae3617d2dec126b"|"DATA"|"orders"|"o_orderdate"|15000000|573330|30868952|"TableScan Impl: ColumnBetween o_orderdate BETWEEN UPPER EXCLUSIVE '1993-03-01' AND '1993-06-01'"|15000000|573330|34895768|"0x7f08b48c0c30"
"eb783ae587a58416"|"DATA"|"part"|"p_name"|2000000|108590|113513080|"TableScan Impl: ColumnLike p_name LIKE '%beige%'"|2000000|108590|119177151|"0x7f08b5503b90"
"4cc582ea095e45e9"|"DATA"|"nation"|"n_name"|25|1|23888|"TableScan Impl: ColumnVsValue n_name = 'UNITED KINGDOM'"|25|1|32199|"0x7f08ba5d9150"
"5555d4bceea41a30"|"DATA"|"part"|"p_name"|2000000|108915|96145449|"TableScan Impl: ColumnLike p_name LIKE '%saddle%'"|2000000|108915|109576365|"0x7f08b5433d30"
"2b3b48f5f8c63576"|"DATA"|"region"|"r_name"|5|1|30173|"TableScan Impl: ColumnVsValue r_name = 'EUROPE'"|5|1|34225|"0x7f08b5439050"
"2b3b48f5f8c63576"|"DATA"|"part"|"p_type"|2000000|13406|2215367|"TableScan Impl: ColumnVsValue p_type = 'PROMO PLATED BRASS'"|2000000|13406|2419666|"0x7f08b4bbfdb0"
"e4f956c780ffb22a"|"DATA"|"region"|"r_name"|5|1|30802|"TableScan Impl: ColumnVsValue r_name = 'AMERICA'"|5|1|14178|"0x7f08b5433010"
"e4f956c780ffb22a"|"DATA"|"part"|"p_type"|2000000|13354|2220885|"TableScan Impl: ColumnVsValue p_type = 'SMALL BURNISHED STEEL'"|2000000|13354|2092020|"0x7f08d0957750"
"9762c3a887e47469"|"DATA"|"lineitem"|"l_shipdate"|59986052|771883|103512708|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1993-12-01' AND '1994-01-01'"|59986052|771883|114749979|"0x7f0905311350"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_size"|7903|762|275751|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 5"|2000000|199678|6162420|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_container"|80015|7903|8915109|"TableScan Impl: ExpressionEvaluator (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')"|2000000|199475|226160353|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_brand"|2000000|80015|5195754|"TableScan Impl: ColumnVsValue p_brand = 'Brand#31'"|2000000|80015|3625412|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_size"|7962|1668|282247|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 10"|2000000|399409|8963513|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_container"|79781|7962|8423815|"TableScan Impl: ExpressionEvaluator (p_container) IN ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK')"|2000000|200893|230456494|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_brand"|2000000|79781|4982864|"TableScan Impl: ColumnVsValue p_brand = 'Brand#24'"|2000000|79781|3341350|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_size"|7978|2434|285180|"TableScan Impl: ColumnBetween p_size BETWEEN INCLUSIVE 1 AND 15"|2000000|598661|11724724|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_container"|79721|7978|8096518|"TableScan Impl: ExpressionEvaluator (p_container) IN ('LG CASE', 'LG BOX', 'LG PACK', 'LG PKG')"|2000000|200116|223031613|"0x7f09020a6170"
"e7bb22c68d9903fa"|"REFERENCE"|"part"|"p_brand"|2000000|79721|4977626|"TableScan Impl: ColumnVsValue p_brand = 'Brand#25'"|2000000|79721|3312643|"0x7f09020a6170"
"2fa6737db8f52313"|"REFERENCE"|"customer"|"c_phone"|680588|190955|186036352|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('20', '23', '15', '21', '31', '30', '24')"|1500000|419813|378831257|"0x7f0901cb1b50"
"68f8842939305c8e"|"DATA"|"part"|"p_name"|2000000|109151|90764673|"TableScan Impl: ColumnLike p_name LIKE '%sienna%'"|2000000|109151|106080307|"0x7f08ba5db530"
"19ae7b7a1d3226b"|"DATA"|"orders"|"o_orderdate"|15000000|572774|31560983|"TableScan Impl: ColumnBetween o_orderdate BETWEEN UPPER EXCLUSIVE '1995-10-01' AND '1996-01-01'"|15000000|572774|36094180|"0x7f08b4396530"
"7074e6b7f9e896be"|"DATA"|"region"|"r_name"|5|1|30383|"TableScan Impl: ColumnVsValue r_name = 'EUROPE'"|5|1|30104|"0x7f08d0953f50"
"7074e6b7f9e896be"|"DATA"|"part"|"p_type"|2000000|13281|2388166|"TableScan Impl: ColumnVsValue p_type = 'ECONOMY POLISHED COPPER'"|2000000|13281|2831826|"0x7f08d0953af0"
