QUERY_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|INPUT_ROWS|OUTPUT_ROWS|RUNTIME_NS|DESCRIPTION|SINGLE_INPUT_ROWS|SINGLE_OUTPUT_ROWS|SINGLE_RUNTIME_NS|OPERATOR_POINTER
"8a500b8350e13fe5"|"DATA"|"date_dim"|"d_month_seq"|73049|366|155477|"TableScan Impl: ColumnBetween d_month_seq BETWEEN INCLUSIVE 1200 AND 1211"|73049|366|168678|"0x7f7372a1d6b0"
"e045c72cfee071ed"|"DATA"|"date_dim"|"d_month_seq"|73049|366|140110|"TableScan Impl: ColumnBetween d_month_seq BETWEEN INCLUSIVE 1200 AND 1211"|73049|366|118807|"0x7f761e0d6bf0"
"65cf99f6be86c7f4"|"DATA"|"reason"|"r_reason_desc"|45|1|51127|"TableScan Impl: ColumnVsValue r_reason_desc = 'reason 28'"|45|1|22420|"0x7f761e0d7d70"
"c86892b6d2937a1c"|"REFERENCE"|"date_dim"|"d_moy"|365|30|15785|"TableScan Impl: ColumnVsValue d_moy = 11"|73049|6000|165744|"0x7f7372a1ddb0"
"c86892b6d2937a1c"|"DATA"|"date_dim"|"d_year"|73049|365|136129|"TableScan Impl: ColumnVsValue d_year = 1998"|73049|365|109938|"0x7f7372a1ddb0"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1444689|"TableScan Impl: ColumnVsValue cd_marital_status = 'M'"|1920800|384160|4126067|"0x7f761e0d5370"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|6752755|"TableScan Impl: ColumnVsValue cd_education_status = 'Unknown'"|1920800|274400|3611793|"0x7f761e0d5370"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|997117|"TableScan Impl: ColumnVsValue cd_marital_status = 'W'"|1920800|384160|3140823|"0x7f761e0d5370"
"c86892b6d2937a1c"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|5732938|"TableScan Impl: ColumnVsValue cd_education_status = 'Advanced Degree'"|1920800|274400|3310548|"0x7f761e0d5370"
"c86892b6d2937a1c"|"DATA"|"customer_address"|"ca_gmt_offset"|250000|27348|635317|"TableScan Impl: ColumnVsValue ca_gmt_offset = -7"|250000|27348|889276|"0x7f761e0d5990"
"c86892b6d2937a1c"|"DATA"|"household_demographics"|"hd_buy_potential"|7200|1200|39602|"TableScan Impl: ColumnBetween hd_buy_potential BETWEEN UPPER EXCLUSIVE 'Unknown' AND 'Unknowo'"|7200|1200|33596|"0x7f761e0d5c30"
"aecea1dd577191a6"|"DATA"|"date_dim"|"d_year"|73049|366|126142|"TableScan Impl: ColumnVsValue d_year = 2000"|73049|366|114826|"0x7f761e482bf0"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1424294|"TableScan Impl: ColumnVsValue cd_marital_status = 'M'"|1920800|384160|3301608|"0x7f761e482950"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|6316289|"TableScan Impl: ColumnVsValue cd_education_status = 'Advanced Degree'"|1920800|274400|3404631|"0x7f761e482950"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1005010|"TableScan Impl: ColumnVsValue cd_marital_status = 'S'"|1920800|384160|3239445|"0x7f761e482950"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|5912931|"TableScan Impl: ColumnVsValue cd_education_status = 'College'"|1920800|274400|3407424|"0x7f761e482950"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|999492|"TableScan Impl: ColumnVsValue cd_marital_status = 'W'"|1920800|384160|3107856|"0x7f761e482950"
"aecea1dd577191a6"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|5667982|"TableScan Impl: ColumnVsValue cd_education_status = '2 yr Degree'"|1920800|274400|3393106|"0x7f761e482950"
"1c41ac70227eb819"|"DATA"|"date_dim"|"d_year"|73049|366|120973|"TableScan Impl: ColumnVsValue d_year = 2000"|73049|366|104839|"0x7f761e480110"
"1c41ac70227eb819"|"DATA"|"customer_address"|"ca_state"|250000|12087|489479|"TableScan Impl: ColumnVsValue ca_state = 'GA'"|250000|12087|499118|"0x7f761e480ab0"
"741bc3f2dfb09756"|"REFERENCE"|"date_dim"|"d_dow"|1096|157|21163|"TableScan Impl: ColumnVsValue d_dow = 1"|73049|10436|163998|"0x7f761e47f850"
"741bc3f2dfb09756"|"DATA"|"date_dim"|"d_year"|73049|365|113778|"TableScan Impl: ColumnVsValue d_year = 2001"|73049|365|103790|"0x7f761e47f850"
"741bc3f2dfb09756"|"DATA"|"date_dim"|"d_year"|73049|366|86539|"TableScan Impl: ColumnVsValue d_year = 2000"|73049|366|103023|"0x7f761e47f850"
"741bc3f2dfb09756"|"DATA"|"date_dim"|"d_year"|73049|365|85561|"TableScan Impl: ColumnVsValue d_year = 1999"|73049|365|102044|"0x7f761e47f850"
"741bc3f2dfb09756"|"REFERENCE"|"household_demographics"|"hd_dep_count"|7200|720|72849|"TableScan Impl: ColumnVsValue hd_dep_count = 6"|7200|720|25913|"0x7f761e47f070"
"741bc3f2dfb09756"|"REFERENCE"|"household_demographics"|"hd_vehicle_count"|7200|2400|53571|"TableScan Impl: ColumnVsValue hd_vehicle_count > 2"|7200|2400|41838|"0x7f761e47f070"
"741bc3f2dfb09756"|"DATA"|"store"|"s_number_employees"|102|94|43304|"TableScan Impl: ColumnBetween s_number_employees BETWEEN INCLUSIVE 200 AND 295"|102|94|15576|"0x7f761e47fbd0"
"901db9dd2feb2d10"|"DATA"|"date_dim"|"d_month_seq"|73049|365|149820|"TableScan Impl: ColumnBetween d_month_seq BETWEEN INCLUSIVE 1176 AND 1187"|73049|365|117970|"0x7f761d7d8570"
"24cc61038fcacf93"|"REFERENCE"|"date_dim"|"d_moy"|365|30|16972|"TableScan Impl: ColumnVsValue d_moy = 11"|73049|6000|101835|"0x7f7618d80b50"
"24cc61038fcacf93"|"DATA"|"date_dim"|"d_year"|73049|365|153870|"TableScan Impl: ColumnVsValue d_year = 1999"|73049|365|104978|"0x7f7618d80b50"
"24cc61038fcacf93"|"DATA"|"item"|"i_manager_id"|102000|1800|172938|"TableScan Impl: ColumnVsValue i_manager_id = 28"|102000|1800|155546|"0x7f7618d7f9d0"
"9ba0ff608aba8792"|"REFERENCE"|"date_dim"|"d_moy"|365|31|12712|"TableScan Impl: ColumnVsValue d_moy = 8"|73049|6200|103861|"0x7f7618d80370"
"9ba0ff608aba8792"|"DATA"|"date_dim"|"d_year"|73049|365|109658|"TableScan Impl: ColumnVsValue d_year = 2001"|73049|365|103371|"0x7f7618d80370"
"c49841c711905e98"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1457331|"TableScan Impl: ColumnVsValue cd_marital_status = 'M'"|1920800|384160|3166386|"0x7f7618d66790"
"c49841c711905e98"|"REFERENCE"|"customer_demographics"|"cd_education_status"|1920800|274400|7057912|"TableScan Impl: ColumnVsValue cd_education_status = '4 yr Degree'"|1920800|274400|3328848|"0x7f7618d66790"
"c49841c711905e98"|"REFERENCE"|"customer_demographics"|"cd_marital_status"|274400|54880|1104470|"TableScan Impl: ColumnVsValue cd_marital_status = 'D'"|1920800|384160|3121056|"0x7f7618d66790"
